"
Street Name",Str Type,Region,Str Dir,Post Dir,Address Low Number,Address High Number,Odd Even,"
Zip","
Precinct","Town 
Precinct","
Cong","
Sen","
Hse"
ALGRETUS,DR,A,,,14603,14725,B,20120,903,,10,34,67
BARRYMORE,RD,A,,,5620,5809,B,20120,921,,10,34,40
BATAVIA,DR,A,,,14605,14713,B,20120,903,,10,34,67
BATTERY RIDGE,CT,A,,,14501,14535,B,20120,910,,11,37,37
BATTERY RIDGE,LN,A,,,14500,14647,B,20120,910,,11,37,37
BAUGHER,DR,A,,,14600,14704,B,20120,903,,10,34,67
BUGGY WHIP,DR,B,,,5406,5538,B,20120,917,,10,34,67
CALIPER,CT,B,,,5300,5314,B,20120,903,,10,34,67
CASTLE HARBOR,WAY,B,,,5100,5138,B,20120,903,,10,34,67
CEDAR BREAK,DR,B,,,5520,5599,B,20120,917,,10,34,67
COACHWAY,DR,B,,,14400,14427,B,20120,917,,10,34,67
ELKHEART,CT,B,,,5200,5212,B,20120,903,,10,34,67
FALLSCLIFF,LN,B,,,14401,14468,B,20120,903,,10,34,67
FARM POND,CT,B,,,14600,14619,B,20120,903,,10,34,67
FENCE POST,CT,B,,,5501,5517,B,20120,903,,10,34,67
FILLY,CT,B,,,14400,14409,B,20120,917,,10,34,67
FIRE FOX,RUN,B,,,5500,5501,B,20120,917,,10,34,67
FLOURCASTLE,CT,B,,,14380,14399,B,20120,917,,10,34,67
GLADEWRIGHT,DR,B,,,5391,5446,B,20120,917,,10,34,67
GLENCREST,CIR,B,,,14401,14484,B,20120,903,,10,34,67
GOLDMOORE,CT,B,,,5407,5421,B,20120,917,,10,34,67
GORDON,DR,B,,,5300,5307,B,20120,903,,10,34,67
GULLIVER,RD,B,,,14380,14397,B,20120,903,,10,34,67
HEDGEROW,CT,B,,,5408,5417,B,20120,903,,10,34,67
JACOB,LN,B,,,14339,14356,B,20120,917,,10,34,67
JAMESON,CT,B,,,14285,14290,B,20120,917,,10,34,67
LOCUST GROVE,CT,B,,,14349,14355,B,20120,903,,10,34,67
NANDINA,CT,B,,,14363,14374,B,20120,917,,10,34,67
NORTH SLOPE,ST,B,,,14364,14453,B,20120,903,,10,34,67
Oshay,Ct,B,,,14285,14289,B,20120,917,,10,34,67
PATRIARCH,CT,B,,,14285,14290,B,20120,917,,10,34,67
QUAIL POND,CT,B,,,14364,14378,B,20120,917,,10,34,67
QUAIL POND,CT,B,,,14379,14390,B,20120,903,,10,34,67
RED BARN,CT,B,,,14404,14411,B,20120,903,,10,34,67
ROUND LICK,LN,B,,,14361,14432,B,20120,903,,10,34,67
SEQUOIA FARMS,DR,B,,,5101,5366,B,20120,903,,10,34,67
SEQUOIA FARMS,DR,B,,,5399,5588,B,20120,917,,10,34,67
SHIPLEY,CT,B,,,5500,5537,B,20120,917,,10,34,67
SOUR GUM,DR,B,,,5408,5422,B,20120,903,,10,34,67
TREE LINE,DR,B,,,5408,5456,B,20120,903,,10,34,67
VIRGIN ROCK,RD,B,,,5508,5534,B,20120,917,,10,34,67
WINDING WOODS,CT,B,,,14300,14348,B,20120,903,,10,34,67
WINDING WOODS,DR,B,,,5101,5147,B,20120,903,,10,34,67
WOODFIELD,DR,B,,,5100,5209,B,20120,903,,10,34,67
WOODLEAF,CT,B,,,5200,5231,B,20120,903,,10,34,67
WOODMERE,CT,B,,,14400,14401,B,20120,903,,10,34,67
WOODMERE,DR,B,,,5100,5124,B,20120,903,,10,34,67
WYNDHAM ROSE,CV,B,,,5101,5130,B,20120,903,,10,34,67
BROOKMERE,DR,B,,,14300,14412,B,20120,903,,10,34,67
CARRIAGE WAY,CT,B,,,14416,14420,B,20120,917,,10,34,67
Emerald Pool,DR,B,,,14386,14392,B,20120,917,,10,34,67
HAYSTACK,CT,B,,,14400,14407,B,20120,917,,10,34,67
KNOUGHTON,WAY,B,,,5200,5215,B,20120,903,,10,34,67
PALMETTO BAY,CT,B,,,5101,5119,B,20120,903,,10,34,67
PEMBERTON,LN,B,,,14350,14353,B,20120,917,,10,34,67
WESTFIELDS,BLVD,B,,,5001,5111,B,20120,903,,10,34,67
Awbrey Patent,DR,C,,,14400,14516,E,20120,932,,10,34,37
Awbrey Patent,DR,C,,,14401,14515,O,20120,932,,10,34,37
BARON KENT,LN,C,,,5900,5947,B,20120,910,,11,37,37
Barros,Ct,C,N,,14500,14528,B,20120,910,,11,37,37
Barros,Ct,C,S,,6103,6127,B,20120,910,,11,37,37
BIRCHLEAF PARK,CT,C,,,5600,5611,B,20120,917,,10,34,67
Black Horse,CT,C,,,14400,14524,B,20120,932,,10,34,37
BROOKMOOR,LN,C,,,14501,14519,B,20120,910,,11,37,37
CABELLS MILL,DR,C,,,13700,14002,B,20120,928,,10,34,67
Chapel Run,CT,C,,,5648,5698,B,20120,932,,10,34,37
CREEKSTONE,LN,C,,,6000,6024,B,20120,910,,11,37,37
DERRING,ST,C,,,6171,6183,O,20120,910,,11,37,37
EARLY AUTUMN,DR,C,,,6100,6169,B,20120,910,,11,37,37
Four Chimney,DR,C,,,14400,14533,B,20120,932,,10,34,37
FROSTY WINTER,CT,C,,,6200,6250,B,20120,910,,11,37,37
GRANVILLE,LN,C,,,14550,14583,B,20120,910,,11,37,37
Great Rocky,RUN,C,,,5700,5704,B,20120,932,,10,34,37
Gringsby,CT,C,,,14350,14455,B,20120,932,,10,34,37
Grisby House,CT,C,,,5900,5942,B,20120,932,,10,34,37
GUNTHER,CT,C,,,5901,5926,B,20120,910,,11,37,37
Hardee Chambliss,CT,C,,,14400,14409,B,20120,932,,10,34,37
Harrison House,CT,C,,,5700,5714,B,20120,932,,10,34,37
Havener House,CT,C,,,14350,14394,B,20120,932,,10,34,37
Havener House,WAY,C,,,5901,6115,B,20120,932,,10,34,37
Heritage Crossing,CT,C,,,5700,5731,B,20120,932,,10,34,37
Heritage Crossing,LN,C,,,14201,14273,B,20120,932,,10,34,37
ILLUMINATI,WAY,C,,,14600,14609,B,20120,910,,11,37,37
INDIAN SUMMER,CT,C,,,14600,14626,B,20120,910,,11,37,37
Johnny Moore,CT,C,,,14300,14343,B,20120,932,,10,34,37
JOVET,CT,C,,,14600,14613,B,20120,910,,11,37,37
JOVET,WAY,C,,,5900,5919,B,20120,910,,11,37,37
Kettle Mountain,DR,C,,,14340,14346,B,20120,932,,10,34,37
Little Rocky Mountain,CT,C,,,14300,14349,B,20120,932,,10,34,37
LOCUST BRANCH,CT,C,,,5700,5709,B,20120,910,,11,37,37
Manassas Gap,CT,C,,,14400,14444,B,20120,932,,10,34,37
MANORWOOD,DR,C,,,5964,5990,B,20120,910,,11,37,37
Netherton,ST,C,,,6001,6096,B,20120,932,,10,34,37
Newgate Tavern,CT,C,,,5730,5738,B,20120,932,,10,34,37
Newton Patent,CT,C,,,14400,14411,B,20120,932,,10,34,37
NEWTON PATENT,DR,C,,,5700,5700,B,20120,932,,10,34,37
OAK CLUSTER,DR,C,,,14500,14538,B,20120,910,,11,37,37
Oday,Dr,C,,,6001,6132,B,20120,910,,11,37,37
OLDE KENT,RD,C,,,14558,14656,B,20120,910,,11,37,37
RAINA,DR,C,,,5915,6051,B,20120,910,,11,37,37
RAINY SPRING,LN,C,,,14600,14611,B,20120,910,,11,37,37
Red House,DR,C,,,14400,14417,B,20120,932,,10,34,37
Regimental,CT,C,,,5700,5711,B,20120,932,,10,34,37
RINARD,DR,C,,,5900,5913,B,20120,910,,11,37,37
ROCKY BRANCH,CT,C,,,14452,14460,B,20120,917,,10,34,67
ROCKY RUN,DR,C,,,5600,5638,B,20120,917,,10,34,67
ROCKY RUN,DR,C,,,5642,5735,B,20120,910,,11,37,37
ROCKY WAY,CT,C,,,6100,6136,B,20120,910,,11,37,37
ROCKYMOUNT,CT,C,,,14400,14412,B,20120,917,,10,34,67
Royal Oak,LN,C,,,14165,14212,B,20120,932,,10,34,37
Salisbury Plain,CT,C,,,14400,14465,B,20120,932,,10,34,37
SEASONS,DR,C,,,14600,14685,B,20120,910,,11,37,37
STONE RIDGE,DR,C,,,5801,5837,B,20120,910,,11,37,37
STONEPATH,CIR,C,,,6100,6226,B,20120,910,,11,37,37
SYDELL,LN,C,,,14500,14516,B,20120,910,,11,37,37
THERA,WAY,C,,,14600,14650,B,20120,910,,11,37,37
THORNDYKE,CT,C,,,5650,5674,B,20120,917,,10,34,67
Triplett,DR,C,,,5719,5731,B,20120,932,,10,34,37
Truro Parish,CT,C,,,14550,14584,B,20120,932,,10,34,37
TWIN PINE,CT,C,,,5701,5706,B,20120,910,,11,37,37
VIRGINIA CHASE,CT,C,,,14400,14406,B,20120,917,,10,34,67
VIRGINIA CHASE,DR,C,,,5600,5619,B,20120,917,,10,34,67
Watery Mountain,CT,C,,,14300,14370,B,20120,932,,10,34,37
William Carr,LN,C,,,14400,14529,B,20120,932,,10,34,37
WOODGATE MANOR,CIR,C,,,14500,14606,B,20120,910,,11,37,37
WOODGATE MANOR,PL,C,,,14544,14562,B,20120,910,,11,37,37
WYCOMBE,ST,C,,,14700,14757,B,20120,910,,11,37,37
BARROS,DR,C,,,6100,6163,B,20120,910,,11,37,37
BRADDOCK,RD,C,,,14311,14311,O,20120,917,,10,34,67
CEDAR KNOLL,DR,C,,,14600,14615,B,20120,910,,11,37,37
LEE,HWY,C,,,14646,14646,E,20120,910,,11,37,37
STONE,RD,C,,,5833,5833,O,20120,910,,11,37,37
VILLAGE CENTER,DR,C,,,5500,5518,B,20120,903,,10,34,67
VILLAGE CENTER,DR,C,,,5550,5580,B,20120,917,,10,34,67
LEE,HWY,C,,,14601,14601,O,20121,924,,11,37,40
LEE,HWY,C,,,14701,14739,O,20121,924,,11,37,40
LEE,HWY,C,,,14927,15099,O,20121,924,,11,37,40
STONE,RD,C,,,6325,6325,O,20121,924,,11,37,40
LEE,HWY,C,,,14702,14704,E,20120,910,,11,37,37
LEE,HWY,C,,,14708,14738,E,20120,910,,11,37,37
AMPSTEAD,CT,D,,,14906,14956,B,20120,910,,11,37,37
ASTRID,CV,D,,,6250,6287,B,20120,910,,11,37,37
Basingstoke,CT,D,,,6000,6044,B,20120,910,,11,37,37
BASINGSTOKE,LOOP,D,,,14664,14856,B,20120,910,,11,37,37
BEAUMEADOW,CT,D,,,14701,14729,O,20120,921,,10,34,40
BEAUMEADOW,DR,D,,,14700,14726,B,20120,921,,10,34,40
BELCHER FARM,CT,D,,,14601,14613,B,20120,921,,10,34,40
BELCHER FARM,DR,D,,,5700,5846,E,20120,921,,10,34,40
BELCHER FARM,DR,D,,,5701,5847,O,20120,910,,11,37,37
BENTLEY,SQ,D,,,14700,14729,B,20120,910,,11,37,37
BILLINGSGATE,LN,D,,,6041,6070,B,20120,910,,11,37,37
BODLEY,SQ,D,,,14830,14857,B,20120,910,,11,37,37
CARDIGAN,SQ,D,,,14700,14729,B,20120,910,,11,37,37
CHEVERLY,CT,D,,,14601,14625,B,20120,917,,10,34,67
CROATAN,CT,D,,,5700,5728,B,20120,917,,10,34,67
CROATAN,DR,D,,,14562,14644,B,20120,917,,10,34,67
CUB STREAM,DR,D,,,5800,5839,B,20120,921,,10,34,40
DEER LAKE,CT,D,,,14700,14714,B,20120,921,,10,34,40
DEER LAKE,LN,D,,,5800,5809,B,20120,921,,10,34,40
DEER POND,CT,D,,,14800,14811,B,20120,921,,10,34,40
DEER POND,RD,D,,,5700,5820,B,20120,921,,10,34,40
EALING,CT,D,,,14741,14765,B,20120,910,,11,37,37
FLOWER HILL,CT,D,,,14600,14618,B,20120,921,,10,34,40
FLOWER HILL,DR,D,,,14600,14637,B,20120,910,,11,37,37
FLOWER HILL,DR,D,,,14700,14739,B,20120,921,,10,34,40
FLOWER HILL,DR,D,,,14740,14778,B,20120,917,,10,34,67
GATWICK,SQ,D,,,14730,14760,B,20120,910,,11,37,37
GOTHWAITE,DR,D,,,6100,6179,B,20120,910,,11,37,37
GREEN PARK,WAY,D,,,14706,14798,B,20120,910,,11,37,37
GROBIE POND,LN,D,,,14700,14746,B,20120,921,,10,34,40
HANCOCK,CT,D,,,14800,14844,B,20120,910,,11,37,37
